sub1_name,x1 (mole fraction),sub2_name,x2 (mole fraction),sub3_name,x3 (mole fraction),salt,x4 (mole fraction),x5 (mole fraction),temperature (K),ionic conductivity (mS/cm)
Propylene Carbonate,0.583379998,Fluoroethylene Carbonate,0.187193328,Ethylene Carbonate,0.225434658,LiPF6,0.001996008,0.001996008,273.15,0.298
Propylene Carbonate,0.533132224,Fluoroethylene Carbonate,0.171069965,Ethylene Carbonate,0.206017486,LiPF6,0.044890162,0.044890162,273.15,2.96
Propylene Carbonate,0.488009018,Fluoroethylene Carbonate,0.156590957,Ethylene Carbonate,0.188580593,LiPF6,0.083409716,0.083409716,273.15,2.8
Propylene Carbonate,0.450951176,Fluoroethylene Carbonate,0.144699942,Ethylene Carbonate,0.174260387,LiPF6,0.115044248,0.115044248,273.15,1.93
Propylene Carbonate,0.418944231,Fluoroethylene Carbonate,0.134429643,Ethylene Carbonate,0.161891991,LiPF6,0.142367067,0.142367067,273.15,1.02
Propylene Carbonate,0.583379998,Fluoroethylene Carbonate,0.187193328,Ethylene Carbonate,0.225434658,LiPF6,0.001996008,0.001996008,283.15,0.386
Propylene Carbonate,0.533132224,Fluoroethylene Carbonate,0.171069965,Ethylene Carbonate,0.206017486,LiPF6,0.044890162,0.044890162,283.15,4.01
Propylene Carbonate,0.488009018,Fluoroethylene Carbonate,0.156590957,Ethylene Carbonate,0.188580593,LiPF6,0.083409716,0.083409716,283.15,4.04
Propylene Carbonate,0.450951176,Fluoroethylene Carbonate,0.144699942,Ethylene Carbonate,0.174260387,LiPF6,0.115044248,0.115044248,283.15,3.01
Propylene Carbonate,0.418944231,Fluoroethylene Carbonate,0.134429643,Ethylene Carbonate,0.161891991,LiPF6,0.142367067,0.142367067,283.15,1.8
Propylene Carbonate,0.583379998,Fluoroethylene Carbonate,0.187193328,Ethylene Carbonate,0.225434658,LiPF6,0.001996008,0.001996008,293.15,0.484
Propylene Carbonate,0.533132224,Fluoroethylene Carbonate,0.171069965,Ethylene Carbonate,0.206017486,LiPF6,0.044890162,0.044890162,293.15,5.2
Propylene Carbonate,0.488009018,Fluoroethylene Carbonate,0.156590957,Ethylene Carbonate,0.188580593,LiPF6,0.083409716,0.083409716,293.15,5.49
Propylene Carbonate,0.450951176,Fluoroethylene Carbonate,0.144699942,Ethylene Carbonate,0.174260387,LiPF6,0.115044248,0.115044248,293.15,4.31
Propylene Carbonate,0.418944231,Fluoroethylene Carbonate,0.134429643,Ethylene Carbonate,0.161891991,LiPF6,0.142367067,0.142367067,293.15,2.82
Fluoroethylene Carbonate,0.591982203,Ethyl Methyl Carbonate,0.402035743,Ethylene Carbonate,0,LiPF6,0.002991027,0.002991027,243.15,0.133
Fluoroethylene Carbonate,0.538826233,Ethyl Methyl Carbonate,0.365935672,Ethylene Carbonate,0,LiPF6,0.047619048,0.047619048,243.15,1.12
